Dish Name,Description,cusine(veg/nonveg),spice level 1-5, Category

Clear Soup, veg, 1, Soups

Tomato Soup, Tomato soup made with fresh vegetables and herbs, veg, 1, Soups

Rasam, Traditional South Indian soup made with tamarind, tomato, and spices, veg, 1, Soups

Sweet Corn Soup, veg, 1, Soups

Mutton Bone Soup, A flavorful soup made with mutton bones and spices, non-veg, 2, Soups

Nattukkoli Rasam, A spicy and tangy soup made with country chicken and traditional spices, non-veg, 2, Soups

Hot & Sour Soup, veg OR non-veg, 2, Soups

Crab Soup, A rich and creamy soup made with fresh crab meat, non-veg, 2, Soups

Kuli Paniaram, Traditional South Indian snack made from fermented rice and lentil batter, veg, 1, Appetizers

Medhu Vadai, Deep-fried lentil donuts served with chutney and sambar, veg, 2, Appetizers

Thayir Vadai, Lentil donuts soaked in yogurt and topped with spices, veg, 1, Appetizers

Sambar Vadai, Lentil donuts dunked in flavorful lentil stew, veg, 1, Appetizers

Pakoda, Crispy fritters made with gram flour and mixed vegetables, veg, 1, Appetizers

65 Style, Spicy and flavorful fried chicken or veg option tossed in a special sauce, veg OR non-veg, 2, Appetizers

Tikka Style, Tender pieces of chicken or veg option  marinated in a blend of spices and grilled, veg OR non-veg, 2, Appetizers

Tandoori Chicken, Chicken marinated in yogurt and spices, cooked in a clay oven, non-veg, 2, Appetizers

Chicken Lollipop, Chicken wings marinated, battered, and deep-fried, non-veg, 2, Appetizers

Chicken Garlic Kebab, Tender chicken pieces marinated in garlic and spices, grilled to perfection, non-veg, 2, Appetizers

Nethili Fish Fry, Deep-fried anchovies marinated in a blend of spices, non-veg, 2, Appetizers

Boiled Egg, Soft-boiled eggs seasoned with spices, non-veg, 1, Appetizers

Egg Omelette, Fluffy omelette made with eggs and spices, non-veg, 1, Appetizers

Egg Kalakki, Scrambled eggs cooked with onions, tomatoes, and spices, non-veg, 2, Appetizers

Egg Pepper Fry, Eggs cooked with peppers, onions, and spices, non-veg, 2, Appetizers

Egg Podimas, Scrambled eggs tossed with onions, tomatoes, and spices, non-veg, 2, Appetizers

Chettinad Sukka Varuval, Spicy and flavorful Chettinad-style dry chicken dish, non-veg, 3, Appetizers

Baby Corn Pepper Onion (dry), Stir-fried baby corn, bell peppers, and onions seasoned with spices, veg, 2, Appetizers

Masala Pappad, Crispy pappad topped with chopped onions, tomatoes, and spices, veg, 2, Appetizers

South Indian Pappad, Crispy South Indian-style pappad served with chutney, veg, 1, Appetizers

Idli (2)/Vadai (1)/Mini Dosa (1), A combination of steamed rice cakes, lentil donuts, and mini dosa, veg, 1, Dosa / Steam Zone

Mysore Masala Dosa, A thin, crispy dosa filled with spicy potato filling, veg, 3, Dosa / Steam Zone

Plain Dosa, A traditional South Indian crepe made from fermented rice and lentil batter, veg, 1, Dosa / Steam Zone

Masala Dosa, A crispy dosa filled with a spicy potato filling, veg, 2, Dosa / Steam Zone

Egg Dosa, A dosa filled with scrambled eggs and spices, non-veg, 2, Dosa / Steam Zone

Onion Dosa, A dosa filled with sautéed onions and spices, veg, 2, Dosa / Steam Zone

Paper Dosa, A thin and crispy dosa served with chutney and sambar, veg, 1, Dosa / Steam Zone

Paper Podi Dosa, A thin and crispy dosa sprinkled with spicy powder, veg, 2, Dosa / Steam Zone

Ghee Dosa, A dosa cooked with clarified butter, veg, 1, Dosa / Steam Zone

